order_id,order_date,ship_date,customer_id,product_id,quantity,sales,discount,profit,product_name,category,sub_category,unit_cost,list_price,customer_name,segment,region,city,shipping_days,month,year,high_value_order
NM202401461113,2024-01-27,2024-02-01,CU0049,PR522,1,41.69,0.0,19.67,File Cabinet,Office Supplies,Storage,22.02,41.69,Sam Bell,Corporate,Central,Dallas,5,January,2024,No
NM202401729507,2024-01-29,2024-01-31,CU0229,PR507,4,170.76,0.0,91.36,LaserJet 100,Technology,Machines,19.85,42.69,Drew Bell,Corporate,Central,Chicago,2,January,2024,No
NM202401472052,2024-01-08,2024-01-13,CU0108,PR501,1,728.04,0.3,14.63,Galaxy S,Technology,Phones,713.41,1040.06,Sam Dean,Consumer,East,New York,5,January,2024,No
NM202401384236,2024-01-22,2024-01-27,CU0220,PR503,7,921.6,0.15,0.0,iView 11,Technology,Phones,98.09,154.89,Drew Dean,Consumer,Central,Dallas,5,January,2024,No
NM202401487969,2024-01-04,2024-01-07,CU0213,PR501,2,2080.12,0.0,653.3,Galaxy S,Technology,Phones,713.41,1040.06,Drew Wood,Consumer,South,Atlanta,3,January,2024,Yes
NM202401286944,2024-01-02,2024-01-06,CU0005,PR508,1,195.03,0.15,76.79,InkFlow 20,Technology,Machines,118.24,229.45,Jamie Fox,Home Office,East,New York,4,January,2024,No
NM202401278618,2024-01-20,2024-01-25,CU0189,PR506,2,1046.08,0.2,389.52,Keyboard X,Technology,Accessories,328.28,653.8,Sam Fox,Corporate,East,New York,5,January,2024,Yes
NM202401543265,2024-01-30,2024-01-31,CU0124,PR505,3,495.31,0.15,157.75,BT Mouse,Technology,Accessories,112.52,194.24,Alex Bell,Consumer,East,New York,1,January,2024,No
NM202401161347,2024-01-09,2024-01-13,CU0011,PR523,7,303.63,0.15,33.08,Marker Set,Office Supplies,Art,38.65,51.03,Quinn Hunt,Consumer,West,Seattle,4,January,2024,No
NM202401398136,2024-01-16,2024-01-18,CU0184,PR519,4,45.04,0.0,16.28,Cardstock,Office Supplies,Paper,7.19,11.26,Jamie Lee,Consumer,East,New York,2,January,2024,No
NM202401671338,2024-01-11,2024-01-14,CU0034,PR506,2,1307.6,0.0,651.04,Keyboard X,Technology,Accessories,328.28,653.8,Quinn Bell,Corporate,East,New York,3,January,2024,Yes
NM202401927887,2024-01-18,2024-01-20,CU0160,PR502,8,2537.6,0.0,1238.08,Pixel Mini,Technology,Phones,162.44,317.2,Quinn Fox,Home Office,South,Atlanta,2,January,2024,Yes
NM202401361834,2024-01-27,2024-02-03,CU0023,PR509,1,529.98,0.2,193.77,Shredder S,Technology,Machines,336.21,662.47,Taylor Hunt,Corporate,Central,Chicago,7,January,2024,No
NM202401529014,2024-01-12,2024-01-19,CU0051,PR524,4,338.04,0.0,74.28,Sketch Pad,Office Supplies,Art,65.94,84.51,Drew Ray,Consumer,South,Atlanta,7,January,2024,No
